feature_name,source_category,source_type,pollutant_relevance,allowed_interpretation,forbidden_claim,report_phrase
num_roads_500m,traffic,emission_proxy,"NO2, PM10",Road density within 500 m supports a local traffic-related source-proxy hypothesis.,Do not claim that road density proves traffic caused the alert.,traffic-related source proxies
num_roads_1km,traffic,emission_proxy,"NO2, PM10",Road density within 1 km supports a traffic-related source-proxy hypothesis.,Do not claim that road density directly measures vehicle emissions or proves causality.,traffic-related source proxies
traffic,traffic,station_type_proxy,"NO2, PM10",A traffic station indicator supports a traffic-exposure interpretation.,Do not claim that the station type alone identifies the true emission source.,traffic-exposure context
PopulationDensity,urban_anthropogenic,activity_proxy,"NO2, O3, PM10",Population density supports an urban anthropogenic activity hypothesis.,Do not claim that population directly caused pollution.,urban anthropogenic activity proxies
urban,urban_anthropogenic,station_type_proxy,"NO2, O3, PM10",An urban station indicator supports a dense built-environment interpretation.,Do not claim that the urban label alone proves a source.,urban context
num_buildings_500m,urban_anthropogenic,activity_proxy,"NO2, PM10",Building count within 500 m supports local urban-density evidence.,Do not claim that buildings directly emit pollutants.,local built-environment proxies
num_buildings_1km,urban_anthropogenic,activity_proxy,"NO2, PM10",Building count within 1 km supports urban-density evidence.,Do not claim that buildings directly emit pollutants.,built-environment proxies
num_factory_500m,industrial,emission_proxy,"NO2, PM10",Factory count within 500 m supports a local industrial activity hypothesis.,Do not identify a specific facility as the cause without external evidence.,local industrial activity proxies
num_factory_1km,industrial,emission_proxy,"NO2, PM10",Factory count within 1 km supports an industrial activity hypothesis.,Do not identify a specific facility as the cause without external evidence.,industrial activity proxies
num_industrial_landuse_500m,industrial,land_use_proxy,"NO2, PM10",Industrial land use within 500 m supports a local industrial source-proxy hypothesis.,Do not claim that industrial land use proves actual emissions from a facility.,local industrial land-use proxies
num_industrial_landuse_1km,industrial,land_use_proxy,"NO2, PM10",Industrial land use within 1 km supports an industrial source-proxy hypothesis.,Do not claim that industrial land use proves actual emissions from a facility.,industrial land-use proxies
ship_density_1km,port_shipping,maritime_activity_proxy,"NO2, PM10",AIS-derived ship density within 1 km supports a local port/shipping-related source-proxy hypothesis.,Do not claim that a specific vessel caused the alert.,local port/shipping activity proxies
ship_density_5km,port_shipping,maritime_activity_proxy,"NO2, PM10",AIS-derived ship density within 5 km supports a port/shipping-related source-proxy hypothesis.,Do not claim that a specific vessel caused the alert.,port/shipping activity proxies
ship_density_10km,port_shipping,maritime_activity_proxy,"NO2, PM10",AIS-derived ship density within 10 km supports a regional maritime activity hypothesis.,Do not claim that shipping is the only source without corroborating evidence.,regional port/shipping activity proxies
Temp_3yr,meteorological_condition,formation_condition,"O3, PM10","Temperature may support photochemical formation or accumulation conditions, especially for O3.",Do not describe temperature as an emission source.,temperature-related formation condition
Wind_3yr,meteorological_condition,dispersion_condition,"NO2, O3, PM10","Wind speed may affect dispersion, dilution, or transport conditions.",Do not describe wind as an emission source.,wind-related dispersion condition
Precip_3yr,meteorological_condition,removal_condition,PM10,Precipitation may affect wet deposition and pollutant washout.,Do not describe precipitation as an emission source.,precipitation-related washout condition
RH_3yr,meteorological_condition,formation_condition,"PM10, O3",Relative humidity may influence secondary aerosol formation and atmospheric chemistry conditions.,Do not describe humidity as an emission source.,humidity-related atmospheric condition
Stability_3yr,meteorological_condition,accumulation_condition,"NO2, PM10",Atmospheric stability may support pollutant trapping and near-surface accumulation.,Do not describe stability as an emission source.,stability-related accumulation condition
Altitude,geographic_context,context_variable,"O3, PM10","Altitude provides elevation context that can affect dispersion, mixing, and regional pollutant patterns.",Do not describe altitude as an emission source.,elevation context
Latitude,geographic_context,context_variable,"NO2, O3, PM10",Latitude provides broad regional or climatic context.,Do not describe latitude as a pollution source.,regional geographic context
Longitude,geographic_context,context_variable,"NO2, O3, PM10",Longitude provides broad regional context.,Do not describe longitude as a pollution source.,regional geographic context
rural,geographic_context,station_type_proxy,"NO2, O3, PM10",A rural station indicator provides station-context information and may indicate lower local anthropogenic exposure.,Do not describe the rural label as a direct cause.,rural station context
